	item	desc	domain	meaning	example_1	example_2	example_3	example_4
3300	HAVO	ob-havo	Nature	weather	Ochiq ob-havo.	Fine weather.		
3311	SHAMOL	n	Nature	wind				
3318	BO'RON	n	Nature	storm, tempest				
3323	BULUT	n	Nature	cloud				
3326	TUMAN	n	Nature	mist, fog				
3329	YOMG'IR	n	Nature	rain				
3330	YOMG'IR	yomg'ir yog'-	Nature	rain				
3335	QOR	n	Nature	snow				
3336	QOR	qor yog'-	Nature	snow				
3340	YOG'-	v.int	Nature	fall (of precipitation)	Bu yil ko'p qor yog'di.	It has snowed a lot yesterday.		
3344	MOMAQALDIROQ	n	Nature	thunderstorm	Momaqaldiroq gumbirlayapti.	Thunder is rumbling.		
3345	CHAQMOQ	n	Nature	lightning				
3349	KAMALAK	n	Nature	rainbow				
3351	FASL	n	Nature	season				
3352	MAVSUM	n	Nature	season, time	Paxta terish mavsumi boshlandi.	The cotton picking season has started.		
3354	BAHOR	n	Nature	spring				
3357	YOZ	n	Nature	summer				
3358	yozgi	adj	Nature	summer				
3360	KUZ	n	Nature	autumn				
3362	QISH	n	Nature	winter				
3363	qishki	adj	Nature	winter				
3367	toshqin	n	Nature	flood, flooding, swamping	Shaharimiz suv toshqini natijasida buzildi.	Our town was damaged as a result of the flood.		
3373	ZILZILA	n	Nature	earthquake				
3374	MANZARA	n	Nature	scenery, landscape, view	Uyimizning atrofi go'zal manzaraga ega.	Our house has a beautiful view.		
3375	YASHA-	v.int	Vital Functions	live, live (swh)	Men bu mamlakatda besh yil yashadim.	I lived in this country for five years.		
3378	HAYOT	n	Vital Functions	life (lived), livelihood | life (existence)				
3383	UMR	n	Vital Functions	life-span, life	Umringiz uzoq bo'lsin!	May you live long!	Umringizda hech bir qiyinchilik ko'rganmisiz?	Have you experienced any difficulties in your life?
3387	kechir-	v.t | N(gani)X+ni ~	Vital Functions	go through, experience				
3388	kechir-	NX+ni boshdan kechir-	Vital Functions	go through X, experience X, endure X	Bu odam og'ir kasallikni boshdan kechirdi.	This man has had a painful illness.	Ko'p qiyinchiklarni boshdan kechirdim.	I have been through main difficulties.
3390	TURMUSH	n	Vital Functions	life (lived), livelihood	Turmushim yomon emas.	I am not doing badly.		
3391	TIRIK	adj	Vital Functions	alive, living				
3395	JON	n	Vital Functions	life, soul, spirit	Jonini saqlamoq.	To save one's soul.		
3408	JINS	n	Vital Functions	sex, gender | species, race	Bu jinsdagi hayvonlar quruqlikda yashaydi.	Animals of this species live on dry land.		
3422	TUXUM	n	Vital Functions	egg				
3429	homilador	adj	Vital Functions	pregnant				
3432	TUG'-	v.t	Vital Functions	give birth to, bear (children)	Bu ayol unga uchta bolani tug'ib berdi.	That woman has borne him three children.	Bu sig'ir tug'yapti.	This cox is giving birth.
3433	tug'il-	v.int	Vital Functions	be born				
3434	tug'il-	tug'ilish	Vital Functions	birth				
3441	O'S-	v.int	Vital Functions	grow | grow out | rise, go up, ascend, increase	Qizimizga yangi ko'ylaklar kerak, u o'sib, bo'yi cho'zildi.	Our daughter needs new dresses, she has grown out already of her dresses.		
3449	BOLA	n	Vital Functions	child | young (of animals)	Itning bolasiga ovqat bering!	Give some food to the puppy!		
3450	YOSH	adj	Vital Functions	young	U mendan yosh.	He is younger than I.		
3451	YOSH	n	Vital Functions	age				
3452	YOSH	numX ~+da (bo'l-)	Vital Functions	be X years old	U necha yoshda?	How old is he?		
3453	YOSH	~+i numX+da	Vital Functions	be X years old				
3454	YOSH	numX ~+ga kir-	Vital Functions	get X years old, enter in X (age)				
3455	YOSH	numX ~+ga to'l-	Vital Functions	get X years old (pass)				
3456	yoshlik	n	Vital Functions	youth				
3462	KATTA	adj	Vital Functions	grown up				
3468	QARI	adj	Vital Functions	old, aged	Qari onam bor.	I have an aged mother.		
3474	KIR-	v.int | NX+ga ~	Vital Functions	reach X, enter in X(=age)	U aqlga kirdi.	He has reached the age of reason.	U oltmishga kirdi.	He is 60 years old.
3475	O'L-	v.int | NX+dan ~	Vital Functions	die from X	U kecha o'ldi.	He died yesterday.		
3477	o'ldir-	v.t	Vital Functions	kill, murder				
3480	o'lim	n	Vital Functions	death				
3482	o'lik	adj	Vital Functions	dead (l/f) | lifeless, spiritless				
3484	VAFOT	NX+dan vafot et-/qil-	Vital Functions	die of X, pass away	Uning buvisi og'ir xastalikdan vafot etdi.	His grandmother died of a painful illness.		
3493	CHIRI-	v.int	Vital Functions	rot, decay, putrefy	Chirigan olmani yeb bo'lmas.	One must not eat rotten apples.		
3498	OCH	adj	Vital Functions	hungry, starving				
3499	OCH	qorn+i och	Vital Functions	be hungry	Uning qorni ochdi.	He is hungry.		
3501	ochlik	n	Vital Functions	hunger				
3503	ISHTAHA	n	Vital Functions	appetite	Uning ishtahasi yo'q.	He has no appetite.		
3511	TO'Y-	v.int	Vital Functions	have one's fill, be replete (l/f)	Qornim to'ydi.	I have had my fill.		
3518	CHANQA-	v.int	Vital Functions	get thirsty	U chanqadi.	He is thirsty.		
3519	CHANQA-	chanqab ket-	Vital Functions	get, be thirsty				
3528	YE-	v.t	Vital Functions	eat | suffer, endure (blow, attack)	U yong'oq yeyapti.	He is eating nuts.		
3532	tishla-	v.t	Vital Functions	bite, bite off	It bolani tishladi.	The dog bit the child.	U non tishladi.	He bit off a piece of bread.
3539	SO'R-	v.t	Vital Functions	suck				
3540	YUT-	v.t	Vital Functions	swallow	Cho'milish vaqtida u ko'p suv yutib yubordi.	During bathing he has swallowed much water.		
3546	ICH-	v.t | NX+ni (NY+dan) ~	Vital Functions	drink X (from Y)	Bola limonadni butilkaning o'zidan ichmoqda edi.	The boy was drinking the limonad direct from the bottle.	U araq ichib mast bo'ldi.	He got drunk on vodka.
3549	SUG'OR-	v.t	Vital Functions	water, irrigate | give water to	U molni sug'oryapti.	He is giving water to the cattle.		
3553	TUPUR-	v.int	Vital Functions	spit	U yerga tupurdi.	He spat on the ground.		
3560	SIY-	v.int	Vital Functions	urinate, micurate				
3563	DAM	n	Vital Functions	breath, rest, break	Damim chiqmay qoldi.	I could not breathe.		
3565	NAFAS	n	Vital Functions	breath	U nafasini rostladi.	He took a rest.		
3566	NAFAS	nafas ol-	Vital Functions	breathe in, take a breathe	Men toza havoda nafas olishni yaxshi ko'raman.	I like to breathe the fresh air.		
3568	OVOZ	n	Vital Functions	voice	Nomzodlar ovozga qo'yildi.	The candidates were put up for election.		
3571	TOVUSH	n	Vital Functions	sound, voice	Ba'zi bir so'zlar unli tovushdan iboratdir.	Some words consist of vowels.		
3579	BAQIR-	v.int	Vital Functions	shout (loudly), yell, scream				
3588	SHOVQIN	n	Vital Functions	noise, clamour, shout				
3603	YOSH	ko'z yoshi	Vital Functions	tear(s)				
3604	YIG'LA-	v.int	Vital Functions	weep, cry, sob				
3606	terla-	v.int	Vital Functions	sweat, perspire				
3608	SOVQOT-	v.int	Vital Functions	get cold, freeze, freeze over	Qishda qo'llarim sovqotadi.	My hands freeze in winter.	Qo'lim sovqotdi.	My hands are frozen.
3613	ISI-	isib ket-	Vital Functions	get, be hot	Kunlar isib ketdi.	The weather has turned warm.		
3620	CHARCHA-	v.int | N(ish)X+dan ~	Vital Functions	get, be tired of X, get weary, exhausted	Siz safardan charchadingizmi?	Are you tired of the trip?	U yurishdan charchadi.	She is tired of walking.
3621	CHARCHA-	charchab ket-	Vital Functions	get, be tired				
3632	HORG'IN	adj	Vital Functions	tired, weary (appearance)				
3634	DAM	n	Vital Functions	breath, rest, break	Damim chiqmay qoldi.	I could not breathe.		
3636	DAM	dam ol-	Vital Functions	take a breath, have a rest				
3640	ROHAT	n	Vital Functions	comfort, peace, rest	Rohatimni buzmang!	Don't spoil my rest!		
3647	TANAFFUS	n	Vital Functions	break, interval	Teatrda tanaffus boshlandi.	The interval has started in the theatre.		
3649	UYQU	n	Vital Functions	sleep, sleepiness	U bolani uyqu bosdi.	This child is overcome with sleep.		
3650	UYQU	uyqu+si kel-	Vital Functions	get sleepy				
3657	UXLA-	v.int	Vital Functions	sleep, go to bed	U uxlayapti.	He is sleeping.		
3668	UYG'ON-	v.int | NX+dan ~	Vital Functions	wake up with X	U otilgan o'q ovozidan uyg'ondi.	He awoke up with a shot.	O'g'lingiz uyg'ondi.	Your son has woken up.
3670	UYG'OT-	v.t	Vital Functions	wake (up), awake	Ona o'zining kichik o'g'lini uyg'otdi.	The mother awoke her small son.	Meni soat ikkida uyg'oting!	Wake me up at 2 o'clock please!
3677	BADAN	n	Body	body; physique, physical				
3685	GAVDA	n	Body	figure, stature	Uning kelishgan gavdasi bor.	He has a well-proportioned figure.		
3691	BO'Y	NX+ning ~+i baland	Body	tall				
3692	BO'Y	NX+ning ~+i uzun	Body	tall	Uning bo'yi uzun.	He is tall.		
3693	BO'Y	NX+ning ~+i past	Body	short				
3700	SEMIZ	adj	Body	fat, corpulent, stout, obese	Bu qo'y semiz.	This sheep is fat.		
3709	ORIQ	adj	Body	thin, slim, emaciated	Bu q'o'y oriq.	This sheep is thin.		
3714	BOSH	n	Body	head | beginning, source				
3718	MIYA	n	Body	brain, marrow | brain, mind				
3721	PESHANA/ PESHONA	n	Body	forehead				
3724	YUZ	n	Body	face | surface, face				
3732	YONOQ	n	Body	cheek				
3733	QOSH	n	Body	eyebrows				
3735	KO'Z	n	Body	eye				
3739	BURUN (burn+i)	n	Body	nose				
3743	QULOQ	n	Body	ear | handle (of pots,...)				
3746	OG'IZ (og'z+i)	n	Body	mouth | mouth, opening, aperture	Ular og'izlarini ochdilar.	They opened their mouth.		
3749	LAB	n	Body	lip(s) | bank, ridge, edge				
3751	TISH	n	Body	tooth				
3760	TIL	n	Body	tongue | language, tongue				
3763	TOMOQ	n	Body	throat				
3767	BO'YIN (bo'yn+i)	n	Body	neck				
3770	KO'KRAK	n	Body	chest, breast	U ko'kragini keryapti.	He is sticking his chest out.		
3773	QORIN (qorn+i)	n	Body	belly, stomach				
3775	YELKA	n	Body	shoulder(s), back				
3781	ORQA	n	Body	back, back part	Orqangizda nima bor?	What have you got on your back?		
3782	BEL	n	Body	waist, small of the back				
3785	QO'L	n, adj	Body	hand(s), arm(s), wrist(s); hand				
3791	MUSHT/ MUSHTUM	n	Body	fist				
3792	BARMOQ	n	Body	finger				
3802	OYOQ	n	Body	foot, leg				
3806	TIZZA/ TIZ	n	Body	knee(s)				
3812	QANOT	n	Body	wing(s)				
3815	DUM	n	Body	tail				
3816	TERI	n	Body	skin, leather				
3823	MO'YNA	n	Body	fur				
3824	JUN	n	Body	wool				
3825	SOCH	n	Body	hair				
3830	SOQOL	n	Body	beard				
3837	MO'YLOV	n	Body	moustache				
3839	PAT	n	Body	feather				
3840	TIRNOQ	n	Body	(finger/toe) nail(s), claw(s)				
3843	SHOX	n	Body	horn(s)				
3848	SUYAK	n	Body	bone				
3852	MUSKUL	n	Body	muscle				
3858	QON	n	Body	blood				
3867	YURAK	n	Body	heart | courage				
3868	O'PKA	n	Body	lung(s)				
3869	OSHQOZON	n	Body	stomach				
3871	ICHAK	n	Body	intestines, bowels				
3872	JIGAR	n	Body	liver				
3873	BUYRAK	n	Body	kidney(s)				
3875	O'S-	v.int	Plants	grow	Bu daraxtlar o'syapti.	These trees are growing.		
3877	o'simlik	n	Plants	plant	Dalada har turli o'simliklar ko'p.	There are many different kinds of plants in the field.		
3880	PISH-	v.int	Plants	get ripe (l/f) | get cooked | get mature, experienced	Qovunlar pishdi.	The melons are ripe.		
3881	pishir-	v.t	Plants	ripen				
3890	URUG'	n	Plants	seed	U beda urug'larini keltirdi.	He brought some clover seed.		
3899	ILDIZ	n	Plants	root(s)				
3903	SHOX	n	Plants	branch				
3914	YAPROQ	n	Plants	leaf				
3916	BARG	n	Plants	leaf				
3919	CHECHAK	n	Plants	flower	Bahorda chechaklar gullaydilar.	Flowers will bloom in the spring.		
3921	GUL	n	Plants	flower, blossom	Menga bir dasta gul bering!	Give me a bunch of flowers please!		
3925	MEVA	n	Plants	fruit				
3930	QO'ZIQORIN (qo'ziqorn+i)	n	Plants	mushroom (edible)				
3932	O'T	n	Plants	grass	Bu bog'da o'tlar ko'p.	There is plenty of grass in this garden.		
3939	ATIRGUL	n	Plants	rose				
3949	DARAXT	n	Plants	tree	Ariq bo'ylariga daraxt ekilgan.	Trees have been planted along the banks of the canal.		
3964	BUG'DOY	n	Plants	wheat				
3966	MAKKAJO'XORI/ MAKKA	n	Plants	maize, corn				
3968	GURUCH/ GURUNCH	n	Plants	rice (husked)				
3970	G'O'ZA	n	Plants	cotton (plant)	G'o'zalarimiz o'smoqdalar.	Our cotton is growing.		
3972	PAXTA	n	Plants	cotton				
3973	PAXTA	oq oltin	Plants	cotton				
3979	sabzavot	n	Plants	vegetables, greens				
3980	SABZI	n	Plants	carrot				
3984	QOVOQ	n	Plants	pumpkin (inedible) | hollow gourd (dish)				
3986	BAQLAJON	n	Plants	egg-plant				
3987	POMIDOR	n	Plants	tomatoe				
3988	BODRING	n	Plants	cucumber				
3989	KARAM	n	Plants	cabbage				
3990	KARTOSHKA	n	Plants	potatoe				
3993	MOSH	n	Plants	peas, beans, lentil				
3994	NO'XAT	n	Plants	peas				
3995	YASMIQ	n	Plants	lentil				
3997	LOVIYA	n	Plants	haricot beans				
3998	ISMALOQ	n	Plants	spinach				
4002	PIYOZ	n	Plants	onion				
4003	SARIMSOQ	n	Plants	garlic				
4004	MURCH	n	Plants	(black) pepper				
4006	QALAMPIR	n	Plants	(red) pepper				
4014	YALPIZ	n	Plants	mint				
4015	QOVUN	n	Plants	melon				
4018	TARVUZ	n	Plants	water-melon				
4019	SHAFTOLI	n	Plants	peach				
4020	O'RIK	n	Plants	apricot				
4021	OLMA	n	Plants	apple				
4022	NOK	n	Plants	pear				
4023	ANOR	n	Plants	pomegranate				
4024	ANJIR	n	Plants	fig				
4026	JIYDA	n	Plants	date				
4028	OLXO'RI	n	Plants	plum				
4029	OLCHA	n	Plants	cherry				
4030	GILOS	n	Plants	sweet cherry				
4032	UZUM	n	Plants	grapes				
4033	QULUPNAY	n	Plants	strawberry				
4036	APELSIN	n	Plants	orange				
4038	LIMON	n	Plants	lemon				
4039	BANAN	n	Plants	banana				
4040	YONG'OQ	n	Plants	nut, walnut				
4044	BODOM	n	Plants	almond				
4045	PISTA	n	Plants	pistachio nut				
4046	HAYVON	n	Animals	animal, beast				
4051	YOVVOYI	adj	Animals	wild, not domesticated	Afrika o'rmonlarida yovvoyi hayvonlar ko'p.	There are many wild animals in the forests of Africa.		
4052	PODA	n | NX ~+si	Animals	herd, flock of Xs	Podachi podani haydayapti.	The cowherd is driving the herd.		
4056	MOL	n	Animals	cattle, livestock | property, possessions, belongings | commodity, goods, articles, produce	Mol boqar mollarni o'tlashishga haydab ketdi.	The cowherd drove the cattle to pasture.	Mollarimiz dalada.	Our cattle are in the field.
4060	SIGIR	n	Animals	cow				
4061	BUQA	n	Animals	bull, ox				
4063	BUZOQ	n	Animals	calf				
4064	OT	n	Animals	horse				
4071	ESHAK	n	Animals	donkey, ass				
4073	QO'Y	n	Animals	sheep				
4077	qo'zichoq	n	Animals	lamb				
4078	ECHKI	n	Animals	goat				
4081	TUYA	n	Animals	camel				
4083	CHO'CHQA	n	Animals	pig				
4085	IT	n	Animals	dog				
4087	MUSHUK	n	Animals	cat				
4088	QUYON	n	Animals	rabbit, hare				
4091	SICHQON	n	Animals	mouse				
4095	SHER	n	Animals	lion				
4097	YO'LBARS	n	Animals	tiger				
4098	AYIQ	n	Animals	bear				
4099	BO'RI	n	Animals	wolf				
4100	TULKI	n	Animals	fox				
4105	QUSH	n	Animals	bird				
4107	TOVUQ	n	Animals	hen, chicken				
4108	XO'ROZ	n	Animals	cock, rooster				
4110	O'RDAK	n	Animals	duck				
4116	BURGUT	n	Animals	eagle				
4123	BULBUL	n	Animals	nightingale				
4124	KAPTAR/ KABUTAR	n	Animals	dove, pigeon				
4131	BALIQ	n	Animals	fish				
4132	ILON	n	Animals	snake				
4135	QURBAQA/ BAQA	n	Animals	frog				
4140	QURT	n	Animals	worm, grub, caterpillar				
4143	HASHAROT	n	Animals	insect				
4146	PASHSHA	n	Animals	fly				
4147	CHIVIN	n	Animals	mosquito | fly				
4150	ASALARI	n	Animals	(honey)bee				
4151	CHUMOLI	n	Animals	ant				
4154	KAPALAK	n	Animals	butterfly				
4163	O'RGIMCHAK	n	Animals	spider				
4164	CHAYON	n	Animals	scorpion				
4169	UYA	n	Animals	nest; lair; (spider)web				
4171	KISHI	n	Humans	person, people, fellow	Qancha kishi keldi? O'n kishi.	How many people came to the meeting? Ten.		
4174	KISHI	bir kishi	Humans	somebody, anybody	Bu yerda bir kishi keldimi?	Did anybody come here?		
4175	KISHI	biror kishi	Humans	somebody, anybody (unspecified)	Biror kishi ham kelmadi.	Nobody came.	Biror kishi kelib qolar.	Somebody may come.
4178	ODAM	n	Humans	man, person, human being	Nechta odam keldi?	How many people came?	Shaharda odam oz.	There are few people in the city.
4182	INSON	n	Humans	human being, person	Insonlarga har doim insonlarcha muomala qilish kerak.	One must always treat people humanely.	Qanday insonsan?	What sort of person are you?
4184	insoniyat	n	Humans	mankind, humanity				
4187	JON	n	Humans	people, soul (counted)	Biz besh jonimiz.	There are five of us.	Qaramog'ingizda necha jon bor?	How many people are there in your charge?
4189	SHAXS	n	Humans	individual, person	Bu shaxsni taniysizmi?	Do you know this person?		
4192	CHAQALOQ	n	Humans	baby, infant	Chaqaloqqa sut bering!	Give the baby some milk!		
4196	BOLA	n	Humans	child | young (of animals)	Bu bola onasining emchagini so'raypti.	The baby is sucking his mother's breast.	U bola seni chaqiryapti.	That child is calling you.
4201	O'G'IL (o'g'l+i)	adj	Humans	boy, male (child)				
4202	O'G'IL (o'g'l+i)	o'g'il bola	Humans	boy	U o'g'il bola.	He is a male.		
4205	QIZ	n	Humans	girl, maiden | daughter	U go'zal qiz.	She is a beautiful girl.		
4206	QIZ	qiz bola	Humans	girl (child)				
4212	YIGIT	n	Humans	young man, young fellow	Ko'p yigitlarimiz harbiy xizmatda.	Many of our young men are doing military service.		
4214	YOSH	n	Humans	young person, youngster	Yoshlarni vatanga sodiq kishilar qilib tarbiyalash kerak.	The young people must be brought up to be faithful to their country.		
4216	yoshlik	n	Humans	youth				
4218	KATTA	adj	Humans	grown up				
4226	ERKAK	n, adj	Humans	man, male				
4229	AYOL	n, adj	Humans	woman, female	Ayollar yig'ilishi.	Women's meeting		
4230	XOTIN	n	Humans	woman | wife	Xotinlarning majlisi bo'lmoqda.	A women's meeting is in progress.		
4235	QARI	n	Humans	old, aged person				
4243	CHOL	n	Humans	old man				
4245	KAMPIR	n	Humans	old woman				
4246	SOG'	adj	Health and Medicine	healthy	Do'stim so'g bo'lib qoldi.	My friend has recovered.	Sog' bo'ling!	Bless you!
4247	sog'lik	n	Health and Medicine	health				
4248	sog'ay-	v.int | NX+dan ~	Health and Medicine	recover from X, get better	Mening akam kasaldan sog'aydi.	My brother has recovered from his sickness.		
4251	SOG'LOM	adj	Health and Medicine	healthy, robust, well | good, sound				
4255	SALOMAT	adj	Health and Medicine	well, healthy	Bola-chaqalaringiz salomatmi?	Is your family well?		
4264	tuzal-	v.int	Health and Medicine	recover (from an illness)				
4268	KASAL	n	Health and Medicine	illness, sickness, disease, ailment | sick person, patient	U kasalni ko'rib keldi.	He visited the sick person.		
4269	KASAL	adj	Health and Medicine	sick, ill				
4270	KASAL	kasal bo'lib qol-	Health and Medicine	fall ill, fall sick	Bir odam kasal bo'lib qoldi.	One man fell ill.		
